2015-2-26 14:30:55,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp_Vbat,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
68,Icc_H_Vbat_B41_2620,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
69,Icc_H_Vcc_B41_2620,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
70,Icc_H_Total_B41_2620,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
71,PAE_H_Total_B41_2620,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
72,EUTRA_ACP_B41_2620,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
73,UTRA_ACP_L_H_B41_2620,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
74,UTRA_ALT_L_H_B41_2620,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
75,EVM_H_B41_2620,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
76,Insertion loss B40_2620,rx b40,dB,-2,0,3.4,3.4,1.8,0,0,0,0,-99,2620,2620,3.36001304,0.0561210399999998,0
77,Insertion loss B38_2620,rx b38,dB,-2,0,3.4,3.4,1.8,0,0,0,0,-99,2620,2620,3.36001304,0.0561210399999998,0
78,Insertion loss B7_2620,rx b7,dB,-2,0,3.4,3.4,1.8,0,0,0,0,-99,2620,2620,3.36001304,0.0561210399999998,0
79,Insertion loss B41_2620,rx b41,dB,-2,0,3.4,3.4,1.8,0,0,0,0,-99,2620,2620,3.36001304,0.0561210399999998,0

